idSite;NomSite;"Typologie MTK"
424;ABONDANCE;BP
463;ABONDANCE PDC;PDC
359;AIGUEBELLE;BP
360;AIGUEBLANCHE;BP
366;AIME;BP
412;AIX LES BAINS CASINO;BP
370;AIX LES BAINS UD;BP
369;ALBENS;PDC
365;ALBERTVILLE BP;PDC
362;ALBERTVILLE CC;PDC
422;ALBERTVILLE STE THERESE GA;BP
532;ALBY SUR CHERAN;BP
153;ALIXAN ROVALTAIN;BP
343;ALLEMONT GAB HORS SITE;BP
216;ALLEVARD;BP
225;ALPE D'HUEZ;BP
75;AMBERIEU CENTRE D'AFFAIRES;BP
6;AMBERIEU EN BUGEY;BP
2;AMBERIEU EN BUGEY CDIS;PDC
442;AMBILLY;BP
446;ANNECY CDIS;BP
479;ANNECY CHAVANOD PARC ALTAIS DEDT;BP
456;ANNECY COEUR DE VILLE;BP
447;ANNECY LE VIEUX;BP
525;ANNECY LES FINS;PDC
527;ANNECY NOVEL;BP
429;ANNECY PARMELAN;BP
530;ANNEMASSE PAL;BP
449;ANNEMASSE PARC;BP
135;ANNEYRON;BP
80;ANNONAY EUROPE CARNOT BPX;BP
92;ANNONAY LEVERT;PI
133;ANTRAIGUES SUR VOLANE GAB;BP
512;ARGONAY PPDC MF;PDC
20;ARS SUR FORMANS;BP
79;ARS SUR FORMANS GAB;BP
134;AUBENAS CHAMPS DE MARS;BP
82;AUBENAS CLC;BP
21;BAGE LE CHATEL;Hors MTK
374;BARBERAZ BPX;BP
156;BATIE ROLLAND (LA) BPX;BP
96;BEAGE (LE);BP
97;BEAUCHASTEL;BP
376;BEAUFORT SUR DORON;BP
157;BEAUMONT LES VALENCE;PDC
148;BEAUMONT PPDC;PDC
250;BEAUREPAIRE;PDC
251;BEAUREPAIRE GARAGE;BP
158;BEGUDE DE MAZENC (LA);Hors MTK
23;BELLEGARDE-SUR-VALSERINE;BP
468;BELLEVAUX;BP
24;BELLEY;BP
377;BESSANS;BP
252;BIOL;PI
469;BOEGE;PDC
470;BONNE;PDC
513;BONNEVILLE;BP
423;BONNEVILLE AYSE PDC;BP
471;BONS EN CHABLAIS;BP
98;BOULIEU LES ANNONAY;PI
159;BOURDEAUX BPX;BP
160;BOURG DE PEAGE;BP
222;BOURG D'OISANS CDIS;BP
341;BOURG D'OISANS DELOC;PDC
66;BOURG EN BRESSE ARSONVAL;PI
25;BOURG EN BRESSE HP;BP
5;BOURG FONTAINE BERNARD;PDC
10;BOURG GARAGE;PDC
149;BOURG LES VALENCE BP;PDC
71;BOURG LOCAUX SYNDICAUX F.O.;BP
15;BOURG MAGINOT;BP
14;BOURG PPDC;BP
367;BOURG SAINT MAURICE;BP
99;BOURG ST ANDEOL;Hors MTK
379;BOURG ST MAURICE;BP
339;BOURGOIN ILOT FACTEUR;PDC
242;BOURGOIN JALLIEU (PAB PPDC);BP
253;BOURGOIN PAL;BP
381;BOZEL;PDC
7;BPX AMBERIEUX EN DOMB. (VILLAR;PDC
78;BPX OYONNAX;BP
53;BPX ST DENIS EN BUGEY (AMBE);BP
254;BRIE ET ANGONNES;BP
221;BRIGNOUD CDIS;BP
161;BUIS LES BARONNIES;BP
413;BUREAU BANCAIRE LA RAVOIRE;PDC
22;CAMP DE LA VALBONNE;Hors MTK
26;CEYZERIAT;BP
162;CHABEUIL;BP
17;CHALAMONT BP;BP
419;CHAMBERY CT;BP
383;CHAMBERY DD/RP;BP
357;CHAMBERY HOTEL DE VILLE;BP
411;CHAMBERY LE BIOLLAY;BP
371;CHAMBERY LE HAUT;PDC
420;CHAMBERY SUD;PDC
363;CHAMBERY SYNDICATS;BP
472;CHAMONIX MONT BLANC;BP
514;CHAMONIX VIGIE PDC;BP
255;CHAMP SUR DRAC BP;BP
361;CHANAZ;BP
163;CHAPELLE EN VERCORS (LA);PDC
256;CHARAVINES;PDC
257;CHARVIEU CHAVAGNEUX;BP
238;CHASSE SUR RHONE BP;PDC
164;CHATEAUNEUF DE GALAURE;BP
165;CHATEAUNEUF DU RHONE BPX;BP
458;CHATEL BP;BP
72;CHATILLON SUR CHALARONNE;PDC
